vehicle,brand,model,category,sales,year,month,date,brandTesla,modelModel3,source
Nissan Leaf,Nissan,Leaf,bev,1539,2012,11,2012-11-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1519,2012,11,2012-11-01,Other,Other,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,1259,2012,11,2012-11-01,Other,Other,hybridcars.com
Tesla Model S,Tesla,Model S,bev,800,2012,11,2012-11-01,Tesla,Other,hybridcars.com
Ford Focus,Ford,Focus,bev,172,2012,11,2012-11-01,Other,Other,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,42,2012,11,2012-11-01,Other,Other,hybridcars.com
Honda Fit,Honda,Fit,bev,26,2012,11,2012-11-01,Other,Other,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,3,2012,11,2012-11-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,2961,2012,10,2012-10-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1579,2012,10,2012-10-01,Other,Other,hybridcars.com
Tesla Model S,Tesla,Model S,bev,450,2012,10,2012-10-01,Tesla,Other,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,144,2012,10,2012-10-01,Other,Other,hybridcars.com
Ford Focus,Ford,Focus,bev,118,2012,10,2012-10-01,Other,Other,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,30,2012,10,2012-10-01,Other,Other,hybridcars.com
Honda Fit,Honda,Fit,bev,16,2012,10,2012-10-01,Other,Other,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,0,2012,10,2012-10-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,2851,2012,9,2012-09-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,984,2012,9,2012-09-01,Other,Other,hybridcars.com
Tesla Model S,Tesla,Model S,bev,150,2012,9,2012-09-01,Tesla,Other,hybridcars.com
Ford Focus,Ford,Focus,bev,59,2012,9,2012-09-01,Other,Other,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,36,2012,9,2012-09-01,Other,Other,hybridcars.com
Honda Fit,Honda,Fit,bev,16,2012,9,2012-09-01,Other,Other,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,0,2012,9,2012-09-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,2831,2012,8,2012-08-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,685,2012,8,2012-08-01,Other,Other,hybridcars.com
Tesla Model S,Tesla,Model S,bev,71,2012,8,2012-08-01,Tesla,Other,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,37,2012,8,2012-08-01,Other,Other,hybridcars.com
Ford Focus,Ford,Focus,bev,34,2012,8,2012-08-01,Other,Other,hybridcars.com
Honda Fit,Honda,Fit,bev,9,2012,8,2012-08-01,Other,Other,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,1,2012,8,2012-08-01,Other,Other,hybridcars.com
BMW Active E,BMW,Active E,bev,0,2012,8,2012-08-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1849,2012,7,2012-07-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,395,2012,7,2012-07-01,Other,Other,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,33,2012,7,2012-07-01,Other,Other,hybridcars.com
Ford Focus,Ford,Focus,bev,38,2012,7,2012-07-01,Other,Other,hybridcars.com
Honda Fit,Honda,Fit,bev,7,2012,7,2012-07-01,Other,Other,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,6,2012,7,2012-07-01,Other,Other,hybridcars.com
BMW Active E,BMW,Active E,bev,0,2012,7,2012-07-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1760,2012,6,2012-06-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,535,2012,6,2012-06-01,Other,Other,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,127,2012,6,2012-06-01,Other,Other,hybridcars.com
Ford Focus,Ford,Focus,bev,89,2012,6,2012-06-01,Other,Other,hybridcars.com
BMW Active E,BMW,Active E,bev,79,2012,6,2012-06-01,Other,Other,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,33,2012,6,2012-06-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1680,2012,5,2012-05-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,510,2012,5,2012-05-01,Other,Other,hybridcars.com
BMW Active E,BMW,Active E,bev,11,2012,5,2012-05-01,Other,Other,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,85,2012,5,2012-05-01,Other,Other,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,0,2012,5,2012-05-01,Other,Other,hybridcars.com
Ford Focus,Ford,Focus,bev,6,2012,5,2012-05-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1462,2012,4,2012-04-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,370,2012,4,2012-04-01,Other,Other,hybridcars.com
BMW Active E,BMW,Active E,bev,326,2012,4,2012-04-01,Other,Other,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,79,2012,4,2012-04-01,Other,Other,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,0,2012,4,2012-04-01,Other,Other,hybridcars.com
